SFOI,10428,12414,29292
GABR,10354,12201,27632
AKLIEA,10210,10311,12513
ADEMNA,10118,10143,11125
CBTTS,10385,11448,21564
ABHEI,10153,10099,10798
CGSESA,10186,11649,23170
BMTES,10106,11049,18384
AMDESA,10492,10381,13077
GABR,10354,12201,27629
CHNPNA,10374,11665,23355
BVANM,10015,11314,20489
BRTAA,10393,11214,19713
BTMISA,10225,11279,20231
CTMLS,10433,12052,26436
AICA,10360,10332,12662
ASILAA,10113,10601,14804
CHNPNA,10374,11665,23320
CTHLSA,10219,12065,26548
BCOPS,10048,10771,16162
CHNPNA,10374,11667,23350
MIES,10045,12317,28533
ACUMS,10391,10107,10855
CSSOS,10178,12017,26146
CSLIEA,10030,11960,25700
AIATIA,10075,10290,12327
BDATE,10024,10791,16357
JOBS,10139,12237,27918
BOFEA,10117,11087,18705
BPTUS,10206,11175,19439
CDLIIA,10192,11544,22351
CPTOS,10349,11914,25311
BLUDAA,10378,10997,17985
MIRA,10189,12294,28353
AADVIA,10482,10056,10460
CBNKI,10366,11477,21826
CGSESA,10186,11645,23179
CHOVAA,10132,11678,23412
BMDWIA,10426,11031,18255
APOES,10203,10537,14293
AICA,10360,10332,12678
AIULM,10181,10280,12250
BENDIA,10144,10845,16786
BCYPS,10494,10775,16220
CCRIIA,10477,11534,22279
AGAUIA,10449,10250,12001
BISN,10096,10967,17758
CEGIS,10485,11602,22839
CINISA,10085,11684,23455
CMLLIA,10163,11808,24473
CCRIIA,10477,11532,22256
BHRMIA,10230,10921,17373
CIIGSA,10420,11695,23561
APOES,10203,10536,14287
ATSASA,10097,10611,14919
BSARS,10456,11225,19834
AFIAS,10122,10204,11633
BENOXA,10473,10835,16684
PLAN,10408,12375,29025
CLTRSA,10459,11763,24118
BTCOR,10062,11262,20088
BSARS,10456,11226,19812
BCESI,10376,10733,15875
BIDIAA,10187,10955,17663
CZNKI,10003,12152,27231
AMXIAA,10467,10365,12922
SFOI,10428,12413,29305
CAANIA,10229,11367,20934
ASARS,10090,10596,14788
CYRIS,10416,12141,27157
BRDI,10177,10946,17593
AFMOA,10421,10217,11737
BNTHI,10431,11071,18579
CVLPS,10013,12124,26995
AGTUSA,10430,10239,11917
CPTOS,10349,11914,25304
AZUDIA,10014,10667,15355
BJULS,10152,10975,17817
AMLLI,10157,10398,13190
CPRUA,10193,11903,25208
ANULS,10400,10426,13430
AICA,10360,10332,12668
APOEI,10205,10509,14056
AMLLHA,10491,10402,13207
ASMBI,10037,10574,14564
ADCTSA,10490,10157,11275
CTIPSA,10371,12043,26353
CSGIAA,10092,12024,26185
CPLMI,10150,11869,24957
BLUCAA,10356,10985,17918
BEEGS,10407,10842,16754
CBNIIA,10042,11459,21640
CAYNSA,10452,11405,21276
BGANAA,10340,10874,16963
APOES,10203,10539,14287
APINS,10352,10534,14244
CVIROA,10154,12109,26848
BKFFIA,10078,10980,17864
BPLLSA,10028,11143,19135
BJULS,10152,10978,17822
CMXIA,10200,11785,24281
CMTEEA,10151,11815,24531
APTEI,10084,10524,14180
CRARI,10076,11932,25458
ADLTIA,10002,10145,11197
BPOLIA,10022,11155,19245
BOMES,10001,11109,18848
BGONM,10112,10889,17115
BVEGS,10180,11295,20380
CBTTS,10385,11449,21582
CWEDI,10216,12130,27052
AICA,10360,10333,12648
CDSASA,10080,11580,22654
AKEBI,10220,10306,12441
AMRIE,10401,10356,12840
NVES,10129,12340,28751
BAISA,10140,10693,15532
CSURI,10196,11990,25927
BHRMIA,10230,10922,17370
CHNPNA,10374,11668,23335
ALYNX,10138,10348,12774
BPEGA,10059,11128,19010
CMLLIA,10163,11809,24443
APTHN,10338,10502,14019
CCENMA,10346,11538,22305
AFIAS,10122,10201,11604
AOKIOA,10472,10450,13617
BGICS,10483,10892,17126
PTIX,10006,12373,28990
BGEESA,10107,10911,17302
BTELMA,10370,11254,20015
APLVS,10033,10485,13903
CSSTA,10123,11995,25971
ABBII,10358,10092,10747
BMIRS,10484,11037,18294
ALHOIA,10025,10335,12716
BPAUIA,10168,11124,18995
MARI,10389,12280,28253
ATCASA,10341,10646,15162
DYEI,10087,12181,27476
AAETAA,10470,10006,10077
CAANI,10432,11361,20895
BHMI,10142,10679,15415
AJANAA,10465,10304,12426
BPALSA,10110,11131,19065
AMLLI,10157,10398,13173
ACOSI,10116,10125,11033
CVELX,10185,12088,26686
CPLMI,10150,11868,24935
HHRS,10440,12226,27813
BCISIA,10091,10736,15900
BTLES,10461,11245,19975
AFIAS,10122,10203,11600
CCFFRA,10232,11483,21850
BHLIA,10457,10929,17425
BCRNIA,10134,10756,16056
BGNHI,10159,10904,17228
CSURI,10196,11990,25937
AERRO,10182,10190,11540
AARES,10480,10068,10541
BEEGS,10407,10842,16725
GEAA,10226,12195,27596
CGAMY,10204,11629,23030
CBLWIA,10384,11430,21453
CBNIIA,10042,11457,21641
WMMI,10038,12490,29957
AGEES,10345,10268,12122
AMDESA,10492,10383,13077
CHNPNA,10374,11668,23327
CDUCI,10067,11592,22748
AOATAA,10462,10441,13534
ACIQS,10444,10117,10943
TECS,10351,12462,29708
CDLIIA,10192,11542,22324
