AAOLE,35572,1.3.3
CAENAA,34237,3.2.3
BXOPS,35458,2.1.1
BRDUAA,30995,2.5.3
BRIGSA,37403,1.4.2
AEBII,30416,1.2.3
AENBI,39392,1.5.4
BDROI,39135,1.2.1
AGTISA,33704,2.2.4
AACIMA,33127,2.2.3
CNCYE,37139,1.4.5
CNIAA,31992,2.3.0
ABYRAA,32518,1.1.4
UGWS,39858,1.5.1
SOTS,38868,1.4.1
CFLOAA,36919,1.2.3
CHNAS,36520,1.2.5
CTIRAA,30630,3.2.5
AENBI,39363,1.0.3
CVNSI,35210,3.5.2
AFRBIA,35791,2.5.0
AACIMA,33152,1.3.1
CHPISA,30871,2.4.0
AGBAS,37090,1.0.2
BIIZIA,38937,2.4.1
CSENX,35383,3.1.0
CSUNI,33330,3.4.1
BBATE,35659,2.3.4
BBII,37804,1.3.3
AOLE,30598,3.1.3
BOENXA,34590,1.4.3
CPNEI,36485,3.3.5
AAANI,39282,1.2.2
BBSWI,32052,1.4.2
BAORS,31678,1.4.5
CVERSA,34167,1.3.1
OENS,31840,1.4.1
CNIAA,31954,2.5.0
ACURSA,33679,1.4.1
AAANI,39229,2.3.4
CLPTA,32929,1.2.4
AAOLE,35561,1.1.5
CHNAS,36535,2.4.2
CSUNI,33324,1.5.2
RGIA,36864,2.4.4
AHMOIA,39585,3.0.2
BPETS,33581,1.1.4
CIULM,39936,3.5.1
CMULMA,39624,2.2.2
RGIA,36877,1.2.4
LLAR,36270,2.4.2
AAOLE,35519,1.2.5
CIULM,39969,3.3.5
ASHUIA,33957,1.5.4
AACIMA,33186,1.3.0
KANS,37203,1.3.2
BHELIA,39090,3.3.1
BCRNI,35182,1.5.1
AEDEIA,34607,1.5.2
BSTISA,31323,3.1.1
KANS,37262,2.5.1
BSTISA,31320,2.2.3
CSPOAA,33884,2.3.2
CHNAS,36550,1.2.4
BSTISA,31337,3.4.5
BSTISA,31361,1.1.2
AMLISA,30187,1.1.5
ATEBA,31412,3.0.1
BBSWI,32059,1.2.1
AMOSSA,35940,1.2.0
SOTS,38825,2.3.3
CAOESA,38279,1.4.4
CSPAS,30242,1.1.3
BXOPS,35485,1.3.0
CPIFIA,32465,1.5.4
BCOGR,30068,2.1.1
BPLAS,38370,2.0.0
CSENX,35372,2.2.5
CHNAS,36536,1.0.5
CIULM,39947,1.0.5
BWTZI,36376,2.4.0
CJIAEA,37365,3.2.1
CUTRAA,36191,1.4.1
ACMBA,37676,1.2.4
CUTRAA,36193,2.0.5
CGAIE,35045,1.2.2
AFRBIA,35784,2.5.1
KANS,37243,2.3.2
AAMMNA,38715,1.1.2
CQSIRA,39792,1.5.3
AMOSSA,35966,2.3.0
LLAR,36222,1.4.2
CIULM,39931,2.1.3
OUNS,32119,3.4.3
CFSOS,38099,2.2.4
CVERSA,34149,1.1.5
VCUA,36789,3.2.3
THAR,37503,1.3.3
AAFAIA,31115,1.1.3
AEBII,30473,1.5.1
SECI,32860,2.0.0
CAOESA,38270,1.4.5
BPAYIA,34472,2.4.3
CPNEI,36464,1.1.1
ACURSA,33691,2.0.2
CBSSIA,31252,1.1.0
CSPAS,30215,1.2.0
CSDES,38179,1.0.0
BDROI,39146,3.3.1
CHNAS,36511,3.3.1
CSPOAA,33893,3.2.5
SOTS,38876,1.5.5
BWTZI,36397,1.5.1
ACMBA,37665,1.4.0
AAFAIA,31102,3.2.4
BMAUA,34320,1.1.0
CLPTA,32969,2.0.1
CCSOAA,34758,1.2.0
CPGUS,37703,2.5.2
AQINS,36072,1.0.2
AFRBIA,35781,1.0.4
ABYRAA,32502,3.2.1
CAENAA,34205,1.5.1
CAENAA,34288,3.3.2
CCSOAA,34717,2.3.0
CPTUS,32744,1.1.3
MOIS,37905,3.0.3
MOIS,37990,1.5.4
AGTISA,33740,1.3.1
BDESS,32381,2.1.5
CHNAS,36588,1.1.2
CFSOS,38023,2.1.4
CSPOAA,33894,1.5.5
CSENX,35309,2.2.0
AAAPSA,39446,1.2.2
APAER,31076,2.1.0
AENBI,39367,1.3.4
CAENAA,34232,1.5.0
CAOESA,38249,1.5.5
UGWS,39848,1.3.4
ASHUIA,33982,3.0.3
AHMOIA,39571,3.4.2
AQINS,36080,3.0.2
AMOSSA,35962,1.2.3
BNITSA,35872,1.0.5
CCNASA,34054,1.4.0
AAOLE,35520,2.1.0
BWTZI,36382,1.4.4
BDESS,32360,2.4.2
APAER,31073,1.0.3
AFRBIA,35705,3.2.4
CGAIE,35027,1.1.1
CSPOAA,33809,1.4.3
BMAUA,34363,1.1.0
VCUA,36714,1.5.0
CCSOAA,34701,1.3.4
CCLEA,36603,3.2.0
ATEBA,31475,2.4.1
ACMBA,37674,2.3.0
ACMBA,37663,4.1.4
CQSIRA,39775,2.1.1
CQSIRA,39735,1.2.4
CPTUS,32794,3.0.2
CVNSI,35208,2.5.2
OENS,31883,2.4.3
BIIZIA,38971,2.4.0
CCLEA,36648,1.4.2
CHPISA,30860,3.1.3
CFSOS,38084,2.1.3
CTNNIA,31747,2.2.3
BWTZI,36358,1.5.5
AENBI,39326,1.3.2
CCLEA,36659,2.4.3
CCLEA,36691,3.0.3
CCZES,33213,1.1.3
CTNNIA,31785,1.2.4
ACMBA,37623,2.2.0
BCOGR,30018,3.0.4
BFNTAA,34913,3.5.3
APAER,31045,1.4.0
AAFAIA,31108,3.4.4
CPMOAA,30784,1.2.3
MOIS,37944,1.4.2
BXOPS,35407,1.3.2
BAORS,31608,3.1.0
AEBII,30486,3.4.2
MOIS,37963,2.0.5
CLNUS,38533,3.4.0
UGWS,39882,1.0.5
BRDUAA,30903,1.5.3
CPNEI,36442,1.1.4
CVERSA,34138,3.2.5
ATNTI,31587,2.4.0
AMLISA,30186,3.0.5
AAAPSA,39490,1.4.2
CLPTA,32925,1.4.5
AGBAS,37020,2.3.0
OENS,31897,3.0.2
SECI,32832,1.4.1
UGWS,39847,3.0.2
AFRBIA,35799,3.3.0
ASHUIA,33914,3.1.5
BSTISA,31340,2.1.2
AGTISA,33710,2.0.3
CNIAA,31945,1.5.5
CSDES,38198,1.5.5
OENS,31878,1.3.5
CTIRAA,30617,3.0.4
BOENXA,34501,1.2.4
AGBAS,37077,1.1.0
BBATE,35644,3.3.0
CTBAA,38418,2.3.0
CAOESA,38239,3.1.5
CPIFIA,32439,1.5.0
BBSWI,32025,1.3.2
BNITSA,35812,3.0.2
AHMOIA,39523,1.1.5
BFNTAA,34963,3.4.3
AMLISA,30197,3.5.5
SOTS,38883,2.5.1
CZNSIA,30380,2.2.0
AHMOIA,39531,2.2.3
CJIAEA,37389,1.1.5
AMOSSA,35902,1.3.1
AAAPSA,39403,2.3.1
CSPOAA,33866,3.1.1
ABYRAA,32514,1.3.4
CIULM,39918,3.5.2
AABIS,38602,3.0.4
AGBAS,37064,1.5.1
AHMOIA,39572,1.4.2
CHPISA,30894,3.1.2
ACMBA,37667,1.2.1
CHPISA,30849,3.0.4
AOLE,30558,2.0.0
BXOPS,35416,2.3.5
CBSSIA,31253,2.0.0
APAER,31062,3.1.2
CPMOAA,30718,3.3.3
OUNS,32152,1.2.0
BNITSA,35853,3.3.2
BCRNI,35193,1.2.0
CSPAS,30287,1.4.0
CSPOAA,33888,3.3.3
CSPOAA,33850,1.1.5
AEDEIA,34617,2.1.3
BRDUAA,30987,1.0.5
AEDEIA,34612,1.1.3
BFNTAA,34999,2.2.1
AOLE,30533,3.1.2
CAENAA,34298,2.2.4
CNIAA,31985,2.5.3
LLAR,36248,3.4.3
SOTS,38885,2.3.1
CMHOIA,34854,1.5.0
BWTZI,36370,1.4.5
AQINS,36027,2.4.4
AAFAIA,31135,3.4.5
AGTISA,33770,2.2.1
AABIS,38663,1.1.1
AAFAIA,31178,2.1.3
BSTISA,31384,1.3.2
CPMOAA,30705,2.1.2
CAENAA,34218,2.2.4
CIULM,39963,4.1.4
BXOPS,35496,1.1.3
AAOLE,35583,2.0.1
AAAPSA,39410,1.3.3
AACIMA,33115,2.3.0
CQSIRA,39726,1.5.0
ASHUIA,33919,2.2.1
CJIAEA,37362,3.1.4
ATEBA,31457,2.1.3
ACURSA,33602,2.1.5
CVERSA,34150,1.5.5
BBII,37872,1.3.2
CNCYE,37189,2.5.3
CCZES,33238,1.4.3
CTNNIA,31710,2.0.5
CIULM,39966,1.4.3
BDROI,39152,1.3.1
CLNUS,38510,1.3.1
BDESS,32344,1.5.1
BCOGR,30065,3.4.0
BRIGSA,37473,2.0.2
BIIZIA,38914,1.4.2
APAER,31099,3.1.0
CHPISA,30826,1.5.5
ABYRAA,32553,1.3.3
AGTISA,33735,1.2.2
CFSOS,38033,1.5.2
CAENAA,34290,2.1.1
CNIAA,31941,1.1.3
AAFAIA,31143,2.4.2
AAMMNA,38758,1.5.5
CSDES,38165,1.0.2
BHELIA,39052,1.0.3
CQSIRA,39777,2.4.2
ADURS,33040,3.0.5
LLAR,36229,1.5.1
AHMOIA,39556,1.2.3
BAORS,31695,1.5.2
AAAPSA,39415,1.2.4
BOENXA,34575,1.1.3
AHMOIA,39556,1.2.3
RGIA,36851,3.0.5
CLPTA,32963,2.5.0
APAER,31063,3.0.2
CFLOAA,36943,2.3.4
BHELIA,39031,3.2.3
OENS,31806,1.2.4
AQINS,36002,1.1.0
BDROI,39169,1.3.3
AOLE,30584,1.0.3
ASHUIA,33945,3.1.5
BDROI,39105,2.1.5
CMULMA,39683,1.3.3
CSPOAA,33839,2.2.0
BAORS,31616,3.0.4
AAOLE,35548,3.1.5
APAER,31027,2.1.2
SECI,32822,1.1.4
CCSOAA,34796,1.2.4
CVNSI,35262,2.0.3
MOIS,37959,3.0.4
AAAPSA,39408,3.0.1
BDROI,39153,1.2.4
CTNNIA,31767,3.1.5
CCZES,33260,3.1.3
AAFAIA,31112,2.0.4
AAAPSA,39484,2.3.3
CIULM,39922,2.5.4
CCZES,33218,1.1.5
CPMOAA,30705,2.1.2
CSENX,35387,1.5.4
ACMBA,37682,3.2.4
BCOGR,30049,1.2.4
VCUA,36745,1.5.5
BXOPS,35409,2.0.2
AGBAS,37015,1.0.4
BIIZIA,38918,2.3.4
AAOLE,35534,2.3.0
CSUNI,33351,2.3.3
CCNASA,34095,2.5.3
CHNAS,36516,1.4.2
KANS,37218,1.1.4
ATEBA,31415,1.2.5
CPIFIA,32492,3.3.5
CPTUS,32745,1.4.5
BCOGR,30079,1.3.4
CPTUS,32744,1.1.3
MOIS,37908,1.3.2
BIIZIA,38903,1.5.3
CPTUS,32795,3.2.4
CNIAA,31941,1.1.3
CPTUS,32725,1.0.5
CCLEA,36610,2.5.2
AOLE,30568,1.2.3
CAOESA,38206,1.2.5
CMHOIA,34836,2.3.2
BDROI,39174,1.3.4
AACIMA,33145,2.0.2
BFNTAA,34942,1.1.5
CPIFIA,32403,2.2.0
AAOLE,35563,1.5.2
BPAYIA,34496,2.5.5
CVEGSA,33431,2.4.1
ATNTI,31586,2.2.4
OENS,31881,1.4.3
ASHUIA,33994,2.1.5
CUTRAA,36177,1.2.1
SOTS,38882,2.3.0
THAR,37514,3.2.4
AAFAIA,31142,1.3.1
CVEGSA,33413,1.0.4
BNITSA,35853,3.3.2
CMATM,32253,3.1.0
UGWS,39860,1.1.0
BDESS,32362,3.0.3
AACIMA,33162,2.0.3
CTBAA,38477,1.5.1
AMOSSA,35925,2.5.5
CNIAA,31993,1.4.4
ACURSA,33624,3.2.2
MOIS,37920,1.4.2
CCNASA,34025,1.1.3
BAORS,31603,2.1.5
AQINS,36004,2.3.5
CMHOIA,34838,2.4.1
AMLISA,30153,1.2.4
CUTRAA,36180,2.2.4
CSUNI,33382,2.4.4
BBSWI,32009,3.1.4
BXOPS,35447,2.2.5
BMAUA,34350,2.3.3
CNIAA,31960,2.3.4
AEBII,30431,3.3.0
CDIAIA,32669,1.0.5
CHNAS,36511,3.3.1
BFNTAA,34973,1.5.0
BPETS,33552,2.1.5
BIIZIA,38929,1.1.4
AEDEIA,34671,2.0.4
CVNSI,35291,2.1.3
BAORS,31645,1.4.3
AAANI,39275,1.1.2
UGWS,39894,2.5.5
AFRBIA,35744,1.2.3
CPIFIA,32446,1.4.2
BHELIA,39003,3.2.5
AGTISA,33790,1.0.5
BRIGSA,37443,1.4.4
SOTS,38863,1.3.1
ACURSA,33601,2.4.1
OENS,31883,2.4.3
CIULM,39970,2.0.2
AOLE,30579,3.2.2
CNIAA,31928,1.5.0
CSPAS,30207,2.3.4
CJIAEA,37358,1.1.1
ATEBA,31412,3.0.1
THAR,37576,2.0.4
CVEGSA,33414,1.1.3
CPGUS,37720,2.1.4
AENBI,39395,1.5.2
BWTZI,36330,1.4.0
ATNTI,31504,2.0.2
BFNTAA,34917,4.1.0
CMHOIA,34868,3.2.0
BCOGR,30089,1.5.2
CCLEA,36602,2.4.1
AAANI,39293,1.4.4
CCNASA,34022,3.2.5
CDIAIA,32607,1.1.4
CSENX,35371,2.3.0
CNCYE,37156,3.3.1
ACURSA,33692,3.0.5
AAFAIA,31156,3.4.5
CSPAS,30279,1.3.0
CSDES,38114,1.0.1
BXOPS,35474,1.0.5
CJIAEA,37311,1.0.5
CTNNIA,31790,2.5.5
BCRNI,35195,1.2.2
ATNTI,31542,1.4.2
CNCYE,37144,3.3.4
BOENXA,34522,1.2.0
AEDEIA,34632,1.4.1
OENS,31857,2.0.4
BFNTAA,34976,1.5.4
BFNTAA,34906,1.5.2
VCUA,36730,1.3.2
CLPTA,32915,1.1.0
CBSSIA,31236,3.0.0
AAFAIA,31154,1.1.0
LLAR,36242,1.5.5
CMATM,32256,1.2.2
ASHUIA,33967,1.3.4
ASHUIA,33978,1.0.3
ACMBA,37627,1.1.3
AACIMA,33169,1.3.2
BMAUA,34381,3.1.0
CGAIE,35003,2.1.3
CNCYE,37129,2.3.2
CCNASA,34010,3.5.0
BAORS,31638,3.1.0
CLNUS,38529,1.1.0
AAOLE,35567,1.0.4
ASHUIA,33903,1.1.2
CCLEA,36683,3.1.0
VCUA,36764,2.2.5
BBSWI,32044,2.3.3
CBSSIA,31236,3.0.0
BXOPS,35411,3.1.0
BCRNI,35170,3.3.5
CJIAEA,37376,1.1.4
ACURSA,33637,3.2.2
CFLOAA,36951,2.5.0
VCUA,36770,3.0.4
KANS,37292,3.3.3
VCUA,36741,1.5.5
CTIRAA,30664,3.4.5
CBSSIA,31229,2.0.4
CJIAEA,37302,2.3.4
AACIMA,33140,2.4.1
AMLISA,30112,3.2.5
CPTUS,32761,3.5.2
ACMBA,37668,3.3.4
SOTS,38870,1.1.5
BHELIA,39043,1.2.2
BAORS,31663,1.0.1
CNIAA,31900,1.3.5
CAENAA,34204,1.4.0
LLAR,36281,3.2.4
MOIS,37902,1.5.0
BPETS,33594,3.1.4
UGWS,39822,1.1.0
BPAYIA,34435,1.1.0
BOENXA,34574,1.0.4
CPTUS,32782,3.1.2
CPNEI,36444,3.4.3
CCSOAA,34749,1.1.0
CVNSI,35253,1.1.1
CCZES,33271,2.4.3
