AABIS,10448,38685
CPTUS,10265,32728
CDANEA,10438,22694
BAORS,10291,15497
RGIA,10317,36858
CMNDO,10445,24189
AAFAIA,10263,31150
CDIAIA,10315,32670
BBSWI,10282,32018
KANS,10270,37265
CLPTA,10335,32916
AFIAS,10122,11610
AHMOIA,10041,39555
CWTRSA,10147,27000
CABRE,10412,20761
AGBAS,10273,11876
VCUA,10281,36713
CCNASA,10246,40813
CFLOAA,10254,36972
CBLWIA,10384,21448
ABYRAA,10318,32555
AQINS,10316,36032
ABYRAA,10318,32597
AOKIOA,10472,13614
CMNASA,10108,24241
CPIFIA,10322,32424
AEBII,10250,30421
CSBASA,10119,26229
CSMUSA,10233,26017
CCENS,10463,21906
BORIIA,10079,18813
BPLLSA,10028,19121
CZNSIA,10295,27285
CPNEI,10319,36417
DQUI,10476,27343
CRUSR,10238,25603
CHPISA,10255,23370
GABR,10354,27618
AAFAIA,10263,31179
BMAUA,10258,34368
CHNAS,10261,36554
BCINS,10019,15834
NVES,10129,28752
CNRES,10486,24633
CHPISA,10255,40170
ATEBA,10249,14968
ADCTSA,10490,11275
CSUNI,10267,33348
CGAIE,10288,35053
CAENAA,10290,40843
BIIZIA,10312,38969
BDROI,10287,39105
AMRIE,10401,12863
CNCYE,10252,24580
CAOESA,10309,21093
ABYRAA,10318,32598
KANS,10270,37205
CIDUS,10137,23548
AEBII,10250,30405
BHNPNA,10143,17465
CZNSIA,10295,30346
CDIAIA,10315,32684
CPGUS,10326,37776
VCUA,10281,36735
AGTISA,10328,33767
AZUDIA,10014,15356
MHOI,10058,28407
OUNS,10308,40426
BIIZIA,10312,38976
CBLWIA,10384,21443
BTCOR,10062,20106
ASTIAA,10417,14550
SECI,10313,32889
BTRCAA,10101,20185
BPAYIA,10271,34427
BIIZIA,10312,38925
AMLISA,10296,30183
BMIRS,10484,18280
CPTUS,10265,32754
CSUNI,10267,40664
AGTISA,10328,40754
BQESR,10237,19494
AACIMA,10299,33123
CSUNI,10267,40667
AEBII,10250,11391
CLTRSA,10459,24086
CCSOAA,10294,21975
BVANM,10015,20504
CHNAS,10261,23275
BPLAS,10268,41670
OUNS,10308,32123
CAISAA,10064,21280
AFOCIA,10095,11674
TERI,10126,29654
BPAYSA,10190,19290
ABEHI,10493,10619
APULSA,10020,13843
AACIMA,10299,33181
LLAR,10253,36208
CVNSI,10304,35219
BPAYIA,10271,19082
BPOLIA,10022,19259
TMAE,10094,29589
MARI,10389,28260
HLVM,10009,27786
BNITSA,10303,35875
ATNTI,10251,31598
CBSSIA,10325,31219
BGUFSA,10034,17251
CTBAA,10300,26380
AAAPSA,10121,39423
NISS,10242,28654
CLPTA,10335,23978
BPENS,10348,19329
ABEHI,10493,10613
CRUSR,10238,25600
ABICA,10202,10646
BNITSA,10303,41167
NEGS,10175,28707
KEBI,10404,28064
BFNTAA,10320,34938
CSENX,10248,35391
ARPIA,10114,14436
RORI,10201,29228
SOTS,10297,38814
CAROAA,10339,20863
MNTS,10478,28483
RNBI,10065,29271
CCENMA,10346,22308
BVEGS,10180,20389
AGKEI,10495,11795
CCENMA,10346,22299
BCSIA,10406,16277
AAAPSA,10121,10497
CCSOAA,10294,34796
BEEGS,10407,16755
CPLANA,10195,25176
CTNNIA,10279,31705
ACPBI,10350,10834
BSAS,10131,20335
CPMOAA,10278,30737
CIGS,10479,21027
CVNSI,10304,26795
BNITS,10443,18441
BHNPNA,10143,17456
BWTZI,10274,20582
AYABEA,10435,15292
BGONM,10112,17110
ALORS,10236,12612
ATES,10077,15397
CDIR,10218,24823
BHELIA,10292,17531
UGWS,10176,39896
CORDIA,10488,24846
AMLEIA,10074,12812
BPANIA,10342,19220
CPTUS,10265,32768
LLAR,10253,28121
BOENXA,10302,34529
CHNAS,10261,36544
CFLOAA,10254,36952
BONGEA,10099,18777
AYABEA,10435,15294
BRDUAA,10244,40192
BAORS,10291,31664
CINISA,10085,23440
BSTISA,10306,31355
APEUS,10069,13959
APAER,10259,31021
AAAPSA,10121,39490
CBLLIA,10234,21765
CGIES,10052,23061
ACURSA,10307,40734
BCTRAA,10367,16311
ATNTI,10251,31592
BBATE,10293,35664
BPETS,10266,33552
BMAUA,10258,18104
CAENAA,10290,34257
ANASA,10165,13355
MHOI,10058,28427
BMIRS,10484,18285
BDESS,10314,16455
CGAIE,10288,35020
CATESA,10481,21389
CRBIAA,10227,25659
RGIA,10317,36849
AHYA,10235,13975
BRDUAA,10244,30957
BVEGS,10180,20382
OENS,10323,31858
CSPOAA,10275,40773
ADECSA,10174,11311
BYARS,10213,20718
CAOESA,10309,38260
