BRDUAA,10244,19568
BGOVI,10414,17073
LITA,10149,28177
CMULMA,10043,39674
BTLES,10461,19996
AGTUSA,10430,11913
CUUIA,10012,26589
CFSOS,10283,38048
CPIFIA,10322,25029
BPLLSA,10028,19133
ASMBI,10037,14564
ACURSA,10307,11083
AMLISA,10296,40023
CNIAA,10305,31946
BGOVI,10414,17068
CPNEI,10319,36468
CSTTA,10148,26253
CPMOAA,10278,40159
CPMOAA,10278,30789
BOENXA,10302,18664
CCRIIA,10477,22268
THAR,10245,37520
AENBI,10277,11412
AHYA,10235,13979
BBII,10243,37864
AGULI,10008,11957
AAANI,10021,39282
CNCYE,10252,41430
CSLIEA,10030,25719
BXOPS,10269,35437
LITA,10149,28161
PTIX,10006,28974
OANI,10418,28856
CZNSIA,10295,27311
AGBAS,10273,37030
AAFAIA,10263,10178
BEEGS,10407,16757
CSPOAA,10275,33865
AFOCIA,10095,11679
AACIMA,10299,10374
ABBII,10358,10739
CDELS,10437,22389
GOUS,10016,27702
CCDAS,10086,22173
AOLE,10321,30585
AOKIOA,10472,13633
BMAUA,10258,40869
BHRMIA,10230,17378
CHNAS,10261,23244
AAMMNA,10280,41750
AAMMNA,10280,10245
ANASA,10165,13341
AHMOIA,10041,12178
ATALAA,10455,15004
OENS,10323,31883
CVEGSA,10327,26671
ACIQS,10444,10954
AGBAS,10273,37056
OENS,10323,31894
AMLLHA,10491,13235
CNIAA,10305,31945
APTEI,10084,14164
CMATM,10298,40457
AAFISA,10188,10083
CDIAIA,10315,40532
BRDUAA,10244,19561
BEUIS,10387,16813
BPOLIA,10022,19254
UGWS,10176,39838
AYABEA,10435,15294
BWIAI,10343,20608
BWTZI,10274,20568
AEBII,10250,40080
AGTISA,10328,33708
AGBAS,10273,37065
CUTRAA,10272,26624
UGWS,10176,39856
AENBI,10277,39340
CGSEA,10361,23136
CNCYE,10252,24592
CVNSI,10304,35231
ATCASA,10341,15188
CCNASA,10246,34031
CBNIIA,10042,21645
AHMOIA,10041,39541
CVELX,10185,26697
BRAPXA,10392,19551
LITA,10149,28176
ALAGIA,10217,12572
ASMBI,10037,14563
BCRNIA,10134,16058
BGNHI,10159,17210
NAPU,10386,28624
AAOLE,10333,35575
FICA,10031,27482
BAISA,10140,15520
CNLKSA,10120,24690
BLUNAA,10026,18024
BOLUA,10466,18733
AHMOIA,10041,39516
CCLEA,10324,22015
BSULR,10228,19762
BOFEA,10117,18710
AOTRSA,10199,13706
AGERAA,10124,12098
BKFFIA,10078,17873
BMAUA,10258,34398
BDROI,10287,41833
OSTS,10425,28763
CGAUI,10133,23086
CCZES,10285,33268
CBSSIA,10325,21743
BVLLA,10066,20475
CSTAE,10039,25828
CPMOAA,10278,30721
CDLIIA,10192,22354
AFRBIA,10301,35785
CPIFIA,10322,40492
ATNTI,10251,31597
ROAI,10405,29165
OENS,10323,28918
ABYRAA,10318,32550
AMOSSA,10311,13138
GABR,10354,27604
BPLAS,10268,41666
PERS,10381,29067
AGAUIA,10449,12034
BCRNI,10337,35130
ADHIE,10498,11332
CAENAA,10290,21339
CPNEI,10319,41284
UGWS,10176,39802
SECI,10313,32896
BWTZI,10274,36366
CVERSA,10256,26800
BSTISA,10306,31356
CVERSA,10256,26802
CTBAA,10300,38426
CAANI,10432,20901
CRUSR,10238,25618
CMHOIA,10241,34856
RGIA,10317,36868
AGISAA,10054,12051
AAFAIA,10263,31118
ABYRAA,10318,32555
BBATE,10293,35659
CSPOAA,10275,33842
PNGS,10083,28948
BDIDA,10173,16544
AAAPSA,10121,39404
CVERSA,10256,34146
BPENS,10348,19339
BPALSA,10110,19064
CBCAA,10209,21714
CMANXA,10046,24323
BPALSA,10110,19057
CQSIRA,10053,39778
BGANAA,10340,16990
ASMBI,10037,14579
AAFAIA,10263,31171
CPIFIA,10322,32442
THAR,10245,41515
BOENXA,10302,34530
CQICSA,10166,25352
THAR,10245,41503
MIRA,10189,28321
CMNNEA,10047,24384
BRDUAA,10244,40180
THAR,10245,37596
AIATIA,10075,12335
BCRNI,10337,35197
CKNSIA,10155,23858
BENOXA,10473,16696
JOSI,10347,27939
AABIS,10448,41720
CCSOAA,10294,21983
BPTII,10365,19193
KBEA,10105,27965
CAENAA,10290,34289
BCISIA,10091,15915
AMLLHA,10491,13217
CAANIA,10229,20925
BIIZIA,10312,17609
BWTZI,10274,36399
CZONS,10260,27241
AJGOI,10115,12372
BVLLA,10066,20449
CJIAEA,10310,37302
CPTUS,10265,32728
AQINS,10316,14364
CSETS,10171,26108
BMRRI,10060,18420
AEBII,10250,30457
BBATE,10293,15657
APJES,10127,13773
SINO,10071,29453
CMNNEA,10047,24381
ANPPN,10164,13452
BBEIA,10061,15718
BTRCA,10221,20136
BRIGSA,10240,37413
CJFFI,10004,23676
MHTS,10098,28314
CBTTS,10385,21590
BPAYIA,10271,34491
DYEI,10087,27461
CBLWIA,10384,21458
CMULMA,10043,39655
BMONIA,10403,18359
CSENX,10248,25912
HHRS,10440,27829
CFSOS,10283,41606
AMLOSA,10344,12960
APLVS,10033,13897
KANS,10270,37237
BHNPNA,10143,17461
ACIQS,10444,10932
CZNSIA,10295,30386
CDIAIA,10315,32627
ACIQS,10444,10931
SINO,10071,29479
CSPAS,10276,30228
CQSIRA,10053,25378
ATNTI,10251,40314
CVEGSA,10327,33489
AAFISA,10188,10088
CFLOAA,10254,36903
BRIGSA,10240,37402
ACMBA,10332,37651
BBII,10243,20301
CVLPS,10013,26987
ANPPN,10164,13467
ASRVL,10369,14693
CIIGSA,10420,23584
BPAUIA,10168,18965
BMAUA,10258,18105
CBNEI,10446,21526
AHMOIA,10041,39523
CVEGSA,10327,33412
ALAGIA,10217,12578
AENBI,10277,39307
RORI,10201,29205
AABIS,10448,38609
BIIZIA,10312,38995
ICAS,10394,27853
CHPISA,10255,30829
BWTZI,10274,20590
AMDESA,10492,13064
RGIA,10317,29146
BFNTAA,10320,16910
BRDI,10177,17575
ABYRAA,10318,10589
AMLISA,10296,40024
LLAR,10253,36235
AGTISA,10328,33767
BYARS,10213,20696
ASTIAA,10417,14533
AZUDIA,10014,15329
BIIZIA,10312,38961
AQINS,10316,36078
AMOSSA,10311,35958
CDSASA,10080,22642
THAR,10245,37556
APYKS,10429,14122
CNOLEA,10088,24727
BDADAA,10375,16489
CPIFIA,10322,32420
AGERAA,10124,12101
ATNTI,10251,40305
CPNEI,10319,36429
AUSIS,10471,15230
BPANIA,10342,19229
BVGESA,10447,20410
CFLOAA,10254,36936
CSPOAA,10275,33872
CMHOIA,10241,24419
CWEDI,10216,27065
CCFFRA,10232,21841
CCENS,10463,21915
SOTS,10297,38846
CMAGS,10454,24224
RORI,10201,29215
NISS,10242,28672
AEBII,10250,30420
AACIMA,10299,10367
ATNTI,10251,31568
BLUPS,10427,18062
CDIAIA,10315,32679
ACMBA,10332,37636
CDERIA,10130,22582
CDANEA,10438,22708
BHSOIA,10194,17516
AGBAS,10273,41400
CPIFIA,10322,32479
AZUDIA,10014,15337
CRARS,10156,25541
ACMBA,10332,37617
ROBS,10441,29093
CVERSA,10256,26825
CPGUS,10326,37723
CMNASA,10108,24242
